p,q,model,auc_roc,auc_pr,accuracy,f1
1.6,2.0,Random Forest,0.9972041108802044,0.9965837078087623,0.954354983537863,0.9563475025046515
1.8,0.2,Logistic Regression,0.7452563682996334,0.7687275662654798,0.6988925471415743,0.6876746352064576
1.8,0.2,Light GBM,0.9561798345696548,0.9496811222518491,0.8923974857826998,0.8943423952975752
1.8,0.2,Random Forest,0.9973207089124526,0.9966917761375841,0.9561508530380126,0.9579928315412186
1.8,0.4,Logistic Regression,0.7467357254310297,0.7659445058100466,0.7027835977252319,0.6909430438842203
1.8,0.4,Light GBM,0.9526285890849729,0.9430185283511483,0.8897036815324753,0.8917291023945937
1.8,0.4,Random Forest,0.9969702429100289,0.9961946032278994,0.950164621370847,0.9525302922309337
1.8,0.6,Logistic Regression,0.7498759438147096,0.7702147684461517,0.697395989224783,0.6855365474339036
1.8,0.6,Light GBM,0.9532071446687286,0.9454535538886522,0.8907512720742293,0.8927416985013225
1.8,0.6,Random Forest,0.9962233973504161,0.9949597951088875,0.9531577372044299,0.9552537526804861
1.8,0.8,Logistic Regression,0.7384751378324915,0.7640240432225769,0.6948518407662376,0.6816549570647932
1.8,0.8,Light GBM,0.9599059547058527,0.953061356269177,0.9039209817419934,0.9060579455662863
1.8,0.8,Random Forest,0.9959441533500187,0.9942198681790587,0.9521101466626758,0.9542987717794916
1.8,1.0,Logistic Regression,0.746657157260241,0.7692215674393037,0.6982939239748578,0.6821192052980133
1.8,1.0,Light GBM,0.9572321284511651,0.9494269142175717,0.8932954205327747,0.8951007797557746
1.8,1.0,Random Forest,0.9964075890940212,0.9953713828536328,0.9516611792876384,0.9538900785153462
1.8,1.2,Logistic Regression,0.738823005799621,0.763365607184572,0.6903621670158635,0.6780768632332348
1.8,1.2,Light GBM,0.9545964664390728,0.9454908477329752,0.8940436994911704,0.8955752212389381
1.8,1.2,Random Forest,0.9967389729751472,0.9956715188247364,0.9524094582460341,0.9545714285714285
1.8,1.4,Logistic Regression,0.7438992084144809,0.7665419406165304,0.6927566596827297,0.6791686200968902
1.8,1.4,Light GBM,0.9584812459030552,0.9505052259458127,0.9016761448668064,0.9035950110051357
1.8,1.4,Random Forest,0.9966072794619666,0.995750504564093,0.9513618677042801,0.953617810760668
1.8,1.6,Logistic Regression,0.7467318731718007,0.7681464645265255,0.6921580365160132,0.6801430570673301
1.8,1.6,Light GBM,0.9585083013050826,0.9525273686888799,0.8934450763244538,0.895784543325527
1.8,1.6,Random Forest,0.9966247042159214,0.9958146163265662,0.953307392996109,0.9553903345724908
1.8,1.8,Logistic Regression,0.7506318824978515,0.776762742387824,0.6994911703082909,0.6865438651264439
1.8,1.8,Light GBM,0.9563134990061618,0.9505132361491618,0.8904519604908709,0.8924794359576967
1.8,1.8,Random Forest,0.9967826916380264,0.9958067409694501,0.9537563603711464,0.9558003146903162
1.8,2.0,Logistic Regression,0.7408763495561526,0.7663326491858468,0.697395989224783,0.684850374064838
1.8,2.0,Light GBM,0.9551007540483886,0.9479116130793501,0.8926967973660581,0.8955875928352992
1.8,2.0,Random Forest,0.9966038751398572,0.9955251473878352,0.9525591140377132,0.9547078154022003
2.0,0.2,Logistic Regression,0.7441409152842506,0.7699279440329506,0.6987428913498952,0.6868875408306112
2.0,0.2,Light GBM,0.9579705079992165,0.9499096164163833,0.8970368153247531,0.8991202346041054
2.0,0.2,Random Forest,0.9971831026292923,0.9964124574558074,0.9545046393295421,0.9564843973661609
2.0,0.4,Logistic Regression,0.7383427276199193,0.7622367804269337,0.6890152648907513,0.6768273716951789
2.0,0.4,Light GBM,0.9590035405845815,0.9534491008637167,0.8961388805746783,0.897609914429035
2.0,0.4,Random Forest,0.9968642609875168,0.9959568994385511,0.9540556719545047,0.9560738303047647
